,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-02-18 07:28:26,73.5069,80.5464,-8.5,85,100,11.52
1,Vaini,TO,2022-02-18 07:28:27,-21.2,-175.2,80.76,89,20,3.44
2,Hasaki,JP,2022-02-18 07:28:27,35.7333,140.8333,50.29,42,35,11.74
3,Parauna,BR,2022-02-18 07:28:28,-16.9478,-50.4486,66.69,96,2,3.91
4,Kachiry,KZ,2022-02-18 07:28:28,53.0675,76.1036,18.9,89,100,13.24
5,Saldanha,ZA,2022-02-18 07:28:29,-33.0117,17.9442,73.45,65,0,4.38
6,Kagoro,NG,2022-02-18 07:28:29,9.6,8.3833,73.53,14,19,6.04
7,Handlova,SK,2022-02-18 07:28:30,48.7276,18.7601,42.57,85,95,3.96
8,Adrar,MR,2022-02-18 07:20:53,20.5022,-10.0711,58.37,12,100,7.78
9,Aklavik,CA,2022-02-18 07:28:30,68.2191,-135.0107,-8.57,89,12,3.04
10,Cocorit,MX,2022-02-18 07:28:31,27.5833,-109.9667,54.05,43,0,3.76
11,Benghazi,LY,2022-02-18 07:28:31,32.1167,20.0667,57.88,66,78,15.37
12,Roma,US,2022-02-18 07:28:32,43.2128,-75.4557,58.66,100,100,9.22
13,Port Elizabeth,ZA,2022-02-18 07:28:32,-33.918,25.5701,73.09,68,20,11.5
14,Kaa-Khem,RU,2022-02-18 07:28:33,51.6833,94.7333,-0.08,93,98,1.81
15,Rikitea,PF,2022-02-18 07:28:33,-23.1203,-134.9692,78.3,72,0,7.18
16,Derzhavinsk,KZ,2022-02-18 07:28:34,51.1,66.3167,14.22,79,17,10.89
17,Bluff,NZ,2022-02-18 07:28:34,-46.6,168.3333,70.81,52,90,18.63
18,Oranjemund,NA,2022-02-18 07:28:35,-28.55,16.4333,67.1,74,0,7.45
19,Hilo,US,2022-02-18 07:24:02,19.7297,-155.09,71.33,93,100,6.91
20,Albany,US,2022-02-18 07:28:01,42.6001,-73.9662,59.81,88,100,3.0
21,Ushuaia,AR,2022-02-18 07:28:36,-54.8,-68.3,47.86,76,40,6.91
22,Flinders,AU,2022-02-18 07:28:36,-34.5833,150.8552,79.21,84,59,15.32
23,New Norfolk,AU,2022-02-18 07:28:36,-42.7826,147.0587,62.74,42,39,1.99
24,Mataura,NZ,2022-02-18 07:28:37,-46.1927,168.8643,70.48,50,100,7.16
25,Kapaa,US,2022-02-18 07:28:37,22.0752,-159.319,73.38,85,20,8.05
26,Pingliang,CN,2022-02-18 07:28:38,35.5392,106.6861,24.17,89,100,15.26
27,Punta Arenas,CL,2022-02-18 07:27:47,-53.15,-70.9167,53.11,82,100,6.91
28,Fairbanks,US,2022-02-18 07:25:02,64.8378,-147.7164,11.61,84,100,6.91
29,Mizan Teferi,ET,2022-02-18 07:28:39,6.9833,35.5833,80.98,27,69,1.41
30,Saint-Philippe,RE,2022-02-18 07:28:39,-21.3585,55.7679,85.55,75,53,13.73
31,Arroyo,ES,2022-02-18 07:28:40,41.6096,-4.7969,45.19,72,100,4.61
32,Tecpan,GT,2022-02-18 07:28:40,14.7623,-90.9947,52.92,81,0,3.02
33,Bilibino,RU,2022-02-18 07:28:41,68.0546,166.4372,-16.76,100,14,5.23
34,Zhanaozen,KZ,2022-02-18 07:22:06,43.3,52.8,39.78,31,83,18.77
35,Victoria,HK,2022-02-18 07:27:54,22.2855,114.1577,69.19,84,100,18.99
36,Tiksi,RU,2022-02-18 07:28:42,71.6872,128.8694,-26.16,98,93,4.68
37,Hobart,AU,2022-02-18 07:28:42,-42.8794,147.3294,63.1,48,75,19.57
38,Novyy Urengoy,RU,2022-02-18 07:23:44,66.0833,76.6333,16.41,96,100,7.0
39,Jamestown,US,2022-02-18 07:25:36,42.097,-79.2353,34.09,73,100,18.41
40,Vagur,FO,2022-02-18 07:28:43,61.4732,-6.8119,37.67,74,100,22.35
41,Nabire,ID,2022-02-18 07:25:05,-3.3667,135.4833,83.05,80,100,3.36
42,Yellowknife,CA,2022-02-18 07:27:53,62.456,-114.3525,-15.45,76,0,17.0
43,San Jose,US,2022-02-18 07:27:10,37.3394,-121.895,54.25,61,0,3.44
44,Eureka,US,2022-02-18 07:29:44,40.8021,-124.1637,48.58,91,80,2.77
45,Barrow,US,2022-02-18 07:29:45,71.2906,-156.7887,-16.58,69,20,6.91
46,Turbat,PK,2022-02-18 07:29:45,26.0023,63.044,78.69,18,0,8.66
47,Hermanus,ZA,2022-02-18 07:29:46,-34.4187,19.2345,75.9,68,1,16.26
48,Mareeba,AU,2022-02-18 07:29:46,-17.0,145.4333,82.49,78,94,5.06
49,Jardim,BR,2022-02-18 07:29:46,-21.4803,-56.1381,76.89,39,100,3.24
50,Kaitangata,NZ,2022-02-18 07:29:47,-46.2817,169.8464,65.93,71,100,3.09
51,Port Alfred,ZA,2022-02-18 07:29:47,-33.5906,26.891,73.02,63,54,14.58
52,Chuy,UY,2022-02-18 07:29:48,-33.6971,-53.4616,69.1,77,93,8.72
53,Cascais,PT,2022-02-18 07:29:48,38.6979,-9.4215,56.46,79,75,20.0
54,Hithadhoo,MV,2022-02-18 07:29:49,-0.6,73.0833,82.6,67,100,13.8
55,Praia,CV,2022-02-18 07:23:27,14.9215,-23.5087,70.34,60,100,10.36
56,Marienburg,PL,2022-02-18 07:29:50,54.0359,19.0266,40.12,81,97,17.49
57,Petropavlovsk-Kamchatskiy,RU,2022-02-18 07:29:50,53.0452,158.6483,27.19,86,75,4.47
58,Shenkursk,RU,2022-02-18 07:29:51,62.1091,42.896,34.23,98,100,15.48
59,El Paso,US,2022-02-18 07:29:51,31.8001,-106.2005,38.01,47,0,4.61
60,Mahebourg,MU,2022-02-18 07:29:52,-20.4081,57.7,84.25,83,75,13.8
61,At-Bashi,KG,2022-02-18 07:29:52,41.1702,75.8106,19.33,62,19,1.7
62,Were Ilu,ET,2022-02-18 07:29:52,10.6,39.4333,65.73,41,3,2.17
63,Ribeira Grande,PT,2022-02-18 07:29:53,38.5167,-28.7,50.4,57,75,3.44
64,Berlevag,NO,2022-02-18 07:29:54,70.8578,29.0864,30.15,74,75,29.93
65,Tura,IN,2022-02-18 07:29:54,25.5198,90.2201,76.39,29,0,6.49
66,Saskylakh,RU,2022-02-18 07:29:54,71.9167,114.0833,-21.37,90,71,8.34
67,Seoul,KR,2022-02-18 07:25:51,37.5683,126.9778,42.31,19,0,5.75
68,Hirara,JP,2022-02-18 07:29:55,24.8,125.2833,67.86,100,75,19.57
69,Atambua,ID,2022-02-18 07:29:55,-9.1061,124.8925,81.43,74,100,0.92
70,Ust-Kulom,RU,2022-02-18 07:29:56,61.6864,53.6902,29.57,90,100,11.61
71,Bushehr,IR,2022-02-18 07:29:56,28.9684,50.8385,68.02,34,0,6.91
72,Busselton,AU,2022-02-18 07:29:57,-33.65,115.3333,103.05,32,2,12.35
73,Svobodnyy,RU,2022-02-18 07:29:57,51.4,128.1333,9.82,86,100,3.69
74,Russell,US,2022-02-18 07:29:58,32.3502,-85.1999,64.11,94,40,8.05
75,Iralaya,HN,2022-02-18 07:29:58,15.0,-83.2333,77.2,81,0,11.14
76,Butaritari,KI,2022-02-18 07:29:59,3.0707,172.7902,81.66,76,100,22.39
77,Hofn,IS,2022-02-18 07:29:59,64.2539,-15.2082,27.97,69,99,16.69
78,Acapulco,MX,2022-02-18 07:25:05,16.8634,-99.8901,76.82,83,75,0.0
79,Brun,AM,2022-02-18 07:30:00,39.5349,46.3073,33.62,62,100,6.69
80,Asau,RO,2022-02-18 07:30:00,46.4333,26.4,39.96,93,100,5.55
81,Caucaia,BR,2022-02-18 07:30:01,-3.7361,-38.6531,82.04,74,20,5.75
82,Aksarka,RU,2022-02-18 07:30:02,66.5606,67.7975,15.15,95,100,6.49
83,Atuona,PF,2022-02-18 07:30:03,-9.8,-139.0333,78.55,75,0,20.6
84,Uvinza,TZ,2022-02-18 07:30:04,-5.1036,30.3911,78.53,67,92,2.28
85,Arlit,NE,2022-02-18 07:30:05,18.7369,7.3853,72.7,16,69,10.38
86,Nemuro,JP,2022-02-18 07:30:06,43.3236,145.575,25.23,63,52,19.08
87,Ambulu,ID,2022-02-18 07:30:07,-8.345,113.6058,82.4,79,100,2.26
88,Bethel,US,2022-02-18 07:31:08,41.3712,-73.414,59.85,89,100,16.11
89,Fort Wellington,GY,2022-02-18 07:31:08,6.4,-57.6,74.3,86,28,8.19
90,La Ronge,CA,2022-02-18 07:23:37,55.1001,-105.2842,-1.95,78,100,2.3
91,Karasjok,NO,2022-02-18 07:31:09,69.4719,25.5112,23.11,82,100,25.39
92,Jumla,NP,2022-02-18 07:31:09,29.2747,82.1838,51.73,31,0,6.67
93,Praia Da Vitoria,PT,2022-02-18 07:31:10,38.7333,-27.0667,50.25,71,75,20.29
94,Vila Velha,BR,2022-02-18 07:31:10,-20.3297,-40.2925,76.95,91,40,6.91
95,Preobrazheniye,RU,2022-02-18 07:31:11,42.9019,133.9064,24.98,67,100,8.23
96,Salina,US,2022-02-18 07:28:38,38.8403,-97.6114,21.25,48,0,10.36
97,Yulara,AU,2022-02-18 07:31:11,-25.2406,130.9889,89.44,15,0,11.5
98,Esna,EG,2022-02-18 07:31:12,25.2934,32.554,60.82,30,9,10.45
99,Byron Bay,AU,2022-02-18 07:31:12,-28.65,153.6167,75.09,83,67,9.24
100,Copiapo,CL,2022-02-18 07:31:13,-27.3667,-70.3333,63.21,90,18,3.33
101,Zhigansk,RU,2022-02-18 07:31:13,66.7697,123.3711,-26.01,100,96,1.92
102,Olinda,BR,2022-02-18 07:31:14,-8.0089,-34.8553,74.93,94,40,0.0
103,Bathsheba,BB,2022-02-18 07:31:14,13.2167,-59.5167,77.61,78,75,16.11
104,Ilam,NP,2022-02-18 07:31:14,26.9167,87.9167,61.32,57,65,5.32
105,Airai,TL,2022-02-18 07:31:15,-8.9266,125.4092,67.32,87,100,1.92
106,Klaksvik,FO,2022-02-18 07:31:16,62.2266,-6.589,31.12,65,100,20.8
107,Port Augusta,AU,2022-02-18 07:31:16,-32.5,137.7667,81.72,52,0,20.38
108,Maningrida,AU,2022-02-18 07:31:16,-12.0667,134.2667,85.84,64,100,7.56
109,Karaton,ID,2022-02-18 07:31:17,-6.3424,106.1045,84.96,88,100,3.8
110,Chokurdakh,RU,2022-02-18 07:31:17,70.6333,147.9167,-31.54,100,17,2.42
111,Pevek,RU,2022-02-18 07:31:18,69.7008,170.3133,-29.51,99,100,3.98
112,Georgetown,MY,2022-02-18 07:31:01,5.4112,100.3354,91.33,62,20,11.5
113,Khatanga,RU,2022-02-18 07:31:18,71.9667,102.5,-29.31,98,8,2.98
114,Tiznit,MA,2022-02-18 07:31:19,29.5833,-9.5,58.6,26,100,4.41
115,Salinopolis,BR,2022-02-18 07:31:19,-0.6136,-47.3561,77.05,86,84,6.11
116,Panalingaan,PH,2022-02-18 07:31:20,8.7842,117.4231,84.16,61,99,3.91
117,Qaqortoq,GL,2022-02-18 07:31:20,60.7167,-46.0333,12.7,64,100,8.46
118,Ponta Do Sol,PT,2022-02-18 07:31:21,32.6667,-17.1,61.43,55,70,5.14
119,Pangnirtung,CA,2022-02-18 07:31:21,66.1451,-65.7125,-19.07,97,100,2.51
120,Saint-Pierre,RE,2022-02-18 07:31:21,-21.3393,55.4781,85.64,70,0,27.63
121,Sao Filipe,CV,2022-02-18 07:31:22,14.8961,-24.4956,72.82,69,100,14.16
122,Hvide Sande,DK,2022-02-18 07:31:22,56.0045,8.1294,41.29,93,75,10.36
123,Ganzhou,CN,2022-02-18 07:31:23,28.8184,115.4327,38.3,95,100,4.92
124,Alihe,CN,2022-02-18 07:31:23,50.5667,123.7167,10.92,74,100,1.54
125,Cherskiy,RU,2022-02-18 07:31:24,68.75,161.3,-37.3,100,23,1.39
126,Fortuna,US,2022-02-18 07:31:24,40.5982,-124.1573,48.33,95,100,0.0
127,Haapiti,PF,2022-02-18 07:31:25,-17.5667,-149.8667,78.53,73,94,12.21
128,Husavik,IS,2022-02-18 07:31:25,66.0449,-17.3389,26.51,86,98,6.11
129,Mount Gambier,AU,2022-02-18 07:31:25,-37.8333,140.7667,64.31,52,40,17.27
130,Grado,ES,2022-02-18 07:28:39,43.388,-6.0743,53.02,94,0,9.22
131,Kununurra,AU,2022-02-18 07:22:20,-15.7667,128.7333,82.38,74,40,11.5
132,Bredasdorp,ZA,2022-02-18 07:31:26,-34.5322,20.0403,71.28,64,35,17.27
133,Makakilo City,US,2022-02-18 07:23:40,21.3469,-158.0858,74.01,73,0,6.91
134,Vila Franca Do Campo,PT,2022-02-18 07:31:27,37.7167,-25.4333,52.2,62,64,20.07
135,Erdenet,MN,2022-02-18 07:32:28,49.0333,104.0833,8.29,70,32,3.98
136,Tuktoyaktuk,CA,2022-02-18 07:32:28,69.4541,-133.0374,-10.25,98,99,10.29
137,Coihaique,CL,2022-02-18 07:31:19,-45.5752,-72.0662,57.15,67,0,5.75
138,Upernavik,GL,2022-02-18 07:32:29,72.7868,-56.1549,-25.47,98,100,5.97
139,Teya,RU,2022-02-18 07:32:29,60.3778,92.6267,13.68,86,100,6.96
140,Bambanglipuro,ID,2022-02-18 07:32:30,-7.95,110.2833,65.61,76,91,4.7
141,Pilar,BR,2022-02-18 07:32:30,-9.5972,-35.9567,71.53,90,74,3.71
142,Clyde River,CA,2022-02-18 07:32:31,70.4692,-68.5914,-30.77,75,20,5.75
143,Meadow Lake,US,2022-02-18 07:31:01,34.8014,-106.5436,34.12,57,0,3.98
144,Cangzhou,CN,2022-02-18 07:32:32,38.3167,116.8667,36.12,36,100,4.99
145,Fort Nelson,CA,2022-02-18 07:32:32,58.8053,-122.7002,-4.41,77,100,2.3
146,Leningradskiy,RU,2022-02-18 07:32:32,69.3833,178.4167,-18.33,98,98,9.86
147,Neufahrn,DE,2022-02-18 07:32:33,48.25,12.4333,46.99,89,84,5.95
148,Calama,CL,2022-02-18 07:31:13,-22.4667,-68.9333,48.69,53,0,10.36
149,Kaohsiung,TW,2022-02-18 07:32:34,22.6163,120.3133,75.15,71,75,8.05
150,Mokhsogollokh,RU,2022-02-18 07:32:34,61.4681,128.9203,-11.45,96,98,1.45
151,Lucea,JM,2022-02-18 07:32:34,18.451,-78.1736,73.26,77,6,6.6
152,Sechura,PE,2022-02-18 07:32:35,-5.5569,-80.8222,70.83,80,100,5.88
153,Broken Hill,AU,2022-02-18 07:31:24,-31.95,141.4333,78.51,27,0,17.27
154,Thompson,CA,2022-02-18 07:32:36,55.7435,-97.8558,-27.24,75,40,0.0
155,Saint-Francois,FR,2022-02-18 07:32:36,46.4154,3.9054,49.68,87,100,6.91
156,Qaanaaq,GL,2022-02-18 07:32:37,77.484,-69.3632,-6.99,54,54,2.3
157,Henties Bay,NA,2022-02-18 07:32:37,-22.116,14.2845,70.86,85,79,7.43
158,Boueni,YT,2022-02-18 07:32:37,-12.9025,45.0761,89.58,72,40,2.77
159,Severo-Kurilsk,RU,2022-02-18 07:32:38,50.6789,156.125,29.39,83,100,25.88
160,Puerto Ayora,EC,2022-02-18 07:32:38,-0.7393,-90.3518,76.55,92,100,5.01
161,Izhma,RU,2022-02-18 07:32:39,65.0083,53.9113,29.35,90,100,12.93
162,Torbay,CA,2022-02-18 07:30:09,47.6666,-52.7314,47.57,88,100,35.68
163,Lompoc,US,2022-02-18 07:32:39,34.6391,-120.4579,55.13,79,0,13.0
164,Monrovia,LR,2022-02-18 07:31:01,6.3005,-10.7969,78.98,83,70,3.74
165,Ambilobe,MG,2022-02-18 07:32:40,-13.2,49.05,88.86,63,73,1.74
166,Luangwa,ZM,2022-02-18 07:32:40,-15.6167,30.4167,77.18,84,94,1.81
167,Djougou,BJ,2022-02-18 07:32:41,9.7085,1.666,81.27,45,8,2.17
168,Paamiut,GL,2022-02-18 07:32:41,61.994,-49.6678,2.86,84,100,9.6
169,Avarua,CK,2022-02-18 07:32:42,-21.2078,-159.775,75.25,94,100,5.75
170,Panzhihua,CN,2022-02-18 07:32:42,26.5851,101.7128,75.34,16,0,2.66
171,Olafsvik,IS,2022-02-18 07:32:42,64.8945,-23.7142,28.92,67,63,10.49
172,Moroni,KM,2022-02-18 07:32:43,-11.7022,43.2551,87.8,74,40,6.91
173,Viransehir,TR,2022-02-18 07:32:43,37.2353,39.7631,43.99,89,100,4.41
174,Castro,BR,2022-02-18 07:29:02,-24.7911,-50.0119,55.33,94,1,2.53
175,Srednekolymsk,RU,2022-02-18 07:32:44,67.45,153.6833,-33.57,100,68,2.3
176,Harper,LR,2022-02-18 07:32:44,4.375,-7.7169,79.79,84,100,6.67
177,Kurumkan,RU,2022-02-18 07:32:45,54.3,110.3,-1.32,91,85,1.12
178,Verkhnyaya Inta,RU,2022-02-18 07:32:45,65.9811,60.3094,23.72,83,100,8.86
179,East London,ZA,2022-02-18 07:32:46,-33.0153,27.9116,72.54,78,40,9.22
180,Azua,DO,2022-02-18 07:32:46,18.4532,-70.7349,68.94,70,3,5.17
181,Lishan,CN,2022-02-18 07:32:47,31.8576,113.2951,40.39,59,98,11.88
182,Nikolskoye,RU,2022-02-18 07:33:47,59.7035,30.7861,31.91,92,100,13.78
183,Mar Del Plata,AR,2022-02-18 07:33:48,-38.0023,-57.5575,64.09,82,40,18.01
184,Waipawa,NZ,2022-02-18 07:33:48,-41.4122,175.5153,63.45,76,3,8.86
185,Takoradi,GH,2022-02-18 07:33:49,4.8845,-1.7554,80.96,83,100,8.5
186,Dunedin,NZ,2022-02-18 07:33:49,-45.8742,170.5036,69.8,47,95,4.0
187,Biak,ID,2022-02-18 07:33:50,-0.9131,122.8766,80.42,76,100,0.63
188,Zaozerne,UA,2022-02-18 07:33:50,45.1582,33.2787,46.94,84,100,13.65
189,Ishigaki,JP,2022-02-18 07:33:51,24.3448,124.1572,68.13,100,75,20.71
190,Kampene,CD,2022-02-18 07:33:51,-3.6,26.6667,78.39,71,97,3.02
191,Salalah,OM,2022-02-18 07:33:52,17.0151,54.0924,80.69,47,0,5.75
192,Cockburn Town,TC,2022-02-18 07:33:52,21.4612,-71.1419,77.09,76,0,18.57
193,Iranduba,BR,2022-02-18 07:33:53,-3.2847,-60.1861,77.29,98,100,1.01
194,Bubaque,GW,2022-02-18 07:33:53,11.2833,-15.8333,77.07,71,6,6.62
195,Naryan-Mar,RU,2022-02-18 07:33:53,67.6713,53.087,24.76,96,100,15.93
196,Ostrovnoy,RU,2022-02-18 07:33:54,68.0531,39.5131,28.72,96,100,15.37
197,Hun,LY,2022-02-18 07:33:55,29.1268,15.9477,52.12,70,0,10.13
198,Acarau,BR,2022-02-18 07:31:09,-2.8856,-40.12,78.31,80,100,5.66
199,Madridejos,ES,2022-02-18 07:33:56,39.4682,-3.532,48.97,61,6,5.32
200,Hamilton,US,2022-02-18 07:33:50,39.1834,-84.5333,31.05,85,100,17.27
201,Kruisfontein,ZA,2022-02-18 07:33:57,-34.0033,24.7314,70.88,49,0,13.33
202,Port-Gentil,GA,2022-02-18 07:33:57,-0.7193,8.7815,82.36,83,40,6.91
203,Cidreira,BR,2022-02-18 07:33:58,-30.1811,-50.2056,72.03,81,100,9.71
204,Luderitz,NA,2022-02-18 07:33:58,-26.6481,15.1594,79.38,57,4,10.38
205,Kawalu,ID,2022-02-18 07:33:59,-7.3817,108.2082,78.17,85,100,1.68
206,Narrabri,AU,2022-02-18 07:33:59,-30.3167,149.7833,96.89,17,69,13.8
207,Puerto Cabezas,NI,2022-02-18 07:34:00,14.0351,-83.3888,74.07,89,8,8.79
208,Mayo,US,2022-02-18 07:34:00,38.8876,-76.5119,66.65,92,100,20.71
209,Nanortalik,GL,2022-02-18 07:34:01,60.1432,-45.2371,18.36,57,100,7.72
210,Provideniya,RU,2022-02-18 07:34:02,64.3833,-173.3,3.56,81,100,16.69
211,Celestun,MX,2022-02-18 07:34:02,20.8667,-90.4,74.44,85,0,10.94
212,Cape Town,ZA,2022-02-18 07:31:16,-33.9258,18.4232,80.11,47,0,17.27
213,Cabedelo,BR,2022-02-18 07:34:03,-6.9811,-34.8339,75.87,74,9,5.95
214,Cayenne,GF,2022-02-18 07:30:07,4.9333,-52.3333,79.09,83,75,3.0
215,Atbasar,KZ,2022-02-18 07:34:04,51.8,68.3333,15.3,81,37,10.33
216,Longyearbyen,SJ,2022-02-18 07:34:04,78.2186,15.6401,12.04,62,20,17.27
217,Tasiilaq,GL,2022-02-18 07:34:05,65.6145,-37.6368,23.16,90,100,23.51
218,Thinadhoo,MV,2022-02-18 07:34:05,0.5333,72.9333,82.17,67,67,11.41
219,Zhuji,CN,2022-02-18 07:34:06,29.7188,120.2423,42.71,98,100,1.97
220,Mezen,RU,2022-02-18 07:34:06,65.8522,44.24,32.97,99,100,11.41
221,Nombre De Dios,MX,2022-02-18 07:34:07,23.85,-104.2333,54.81,48,83,7.58
222,Hervey Bay,AU,2022-02-18 07:34:07,-25.2986,152.8535,83.01,70,0,5.99
223,Birao,CF,2022-02-18 07:34:07,10.2849,22.7882,87.6,8,68,6.53
224,Dawson Creek,CA,2022-02-18 07:34:08,55.7666,-120.2362,4.64,72,100,10.36
225,Saint George,US,2022-02-18 07:32:48,37.1041,-113.5841,42.35,39,0,3.44
226,Kodiak,US,2022-02-18 07:35:08,57.79,-152.4072,44.11,70,100,4.61
227,Den Helder,NL,2022-02-18 07:35:09,52.9599,4.7593,46.08,93,100,25.01
228,Itapaci,BR,2022-02-18 07:35:09,-14.9508,-49.5494,66.67,98,69,1.99
229,Cabo San Lucas,MX,2022-02-18 07:32:00,22.8909,-109.9124,67.51,74,100,4.12
230,Port Hedland,AU,2022-02-18 07:31:28,-20.3167,118.5667,100.45,39,52,17.27
231,Narsaq,GL,2022-02-18 07:35:10,60.9167,-46.05,12.42,65,100,8.7
232,Ponta Delgada,PT,2022-02-18 07:35:11,37.7333,-25.6667,52.5,66,75,16.11
233,Choix,MX,2022-02-18 07:35:11,26.7092,-108.3219,54.64,41,40,4.76
234,Whitehorse,CA,2022-02-18 07:35:11,60.7161,-135.0538,18.37,84,100,3.44
235,Puerto Escondido,MX,2022-02-18 07:35:12,15.85,-97.0667,77.25,78,0,4.7
